"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Alcala, Jorge",660896,"MIN","SL","Slider",-3.4,-5,"133",41.7,"36","0.25","0.594","0.4",32.8,27.8,20.8,"0.228","0.517","0.354",27.3
"Voth, Austin",608723,"BAL","ST","Sweeper",-4,-4,"106",16,"36","0.273","0.455","0.324",18,19.4,12.7,"0.266","0.416","0.305",37
"Teheran, Julio",527054,"MIL","CH","Changeup",-1.1,-1,"127",11.8,"36","0.286","0.514","0.35",25.7,16.7,15.8,"0.249","0.433","0.297",20.7
"Means, John",607644,"BAL","FF","4-Seamer",-0.1,0,"142",41.9,"36","0.188","0.406","0.297",14.1,13.9,11.1,"0.222","0.466","0.332",44.4
"Garcia, Robert",676395,"WSH","SL","Slider",0.6,1,"126",24.1,"36","0.229","0.314","0.275",19.7,13.9,11.4,"0.257","0.403","0.293",36.7
"Law, Derek",571882,"CIN","SIFT","Sinker",1.4,2,"115",12,"36","0.241","0.31","0.329",21,2.8,5.6,"0.336","0.453","0.403",31
"Sale, Chris",519242,"BOS","SIFT","Sinker",-2.2,-2,"105",6.3,"36","0.276","0.517","0.413",17,16.7,22.2,"0.207","0.369","0.335",37.5
"Martinez, Seth",661527,"HOU","SIFT","Sinker",1.6,2,"131",17.1,"36","0.25","0.406","0.326",18,11.1,19,"0.27","0.427","0.341",46.4
"Detmers, Reid",672282,"LAA","CH","Changeup",-1.4,-2,"140",5.4,"36","0.242","0.424","0.418",24.6,19.4,18.4,"0.281","0.424","0.335",38.5
"Quijada, José",650671,"LAA","FF","4-Seamer",-0.1,0,"136",84.5,"36","0.188","0.219","0.263",21.6,22.2,19,"0.289","0.459","0.359",45.8
"Brieske, Beau",689225,"DET","SIFT","Sinker",1.1,1,"124",19.5,"36","0.258","0.419","0.337",22.6,16.7,24,"0.27","0.364","0.313",34.6
"Jackson, Zach",667427,"OAK","SL","Slider",-1.2,-2,"151",40.6,"36","0.276","0.414","0.376",33.3,27.8,16.7,"0.193","0.346","0.319",36.8
"Rodriguez, Grayson",680570,"BAL","CUKC","Curveball",-1.8,-3,"172",8.2,"36","0.176","0.353","0.3",28.1,33.3,25.5,"0.21","0.403","0.283",54.5
"Skubal, Tarik",669373,"DET","SIFT","Sinker",2.3,3,"148",12.2,"36","0.229","0.286","0.239",17.3,16.7,20,"0.236","0.289","0.242",37.9
"Mantiply, Joe",573009,"AZ","CUKC","Curveball",2.2,3,"159",27.8,"36","0.167","0.194","0.16",30.6,27.8,16.1,"0.166","0.273","0.185",30.8
"Brown, Hunter",686613,"HOU","FS","Splitter",0.6,1,"130",4.8,"36","0.121","0.242","0.199",37,38.9,26.4,"0.138","0.207","0.193",26.3
"Herget, Jimmy",623474,"LAA","SL","Slider",-0.2,0,"158",31,"36","0.333","0.639","0.41",14.3,11.1,14.3,"0.281","0.502","0.329",43.8
